zac,zac_nazov,kon,kon_nazov,sekundy,km
61,"Hybe,,Lehotský Adam",64,"Hybe,,nám.",87,1
62,"Lipt.Teplá,Madočany,RENOP",90,"Lipt.Teplá,,ŠL",116,2
62,"Lipt.Teplá,Madočany,RENOP",92,"Lipt.Teplá,,rázc.",108,1
62,"Lipt.Teplá,Madočany,RENOP",273,"Lúčky,,rázc.Kalameny",96,1
63,"Hybe,,motel",61,"Hybe,,Lehotský Adam",117,2
63,"Hybe,,motel",66,"Hybe,,rázc.",60,1
63,"Hybe,,motel",76,"Kráľova Lehota,,Preglejka",135,2
64,"Hybe,,nám.",63,"Hybe,,motel",116,3
64,"Hybe,,nám.",65,"Hybe,,otoč.",70,1
64,"Hybe,,nám.",66,"Hybe,,rázc.",216,4
64,"Hybe,,nám.",77,"Kráľova Lehota,,žel.st.",270,5
64,"Hybe,,nám.",108,"Lipt.Hrádok,,Jánoškov domov",270,6
65,"Hybe,,otoč.",64,"Hybe,,nám.",139,1
65,"Hybe,,otoč.",228,"Východná,,Benzinol",211,3
66,"Hybe,,rázc.",61,"Hybe,,Lehotský Adam",162,3
66,"Hybe,,rázc.",63,"Hybe,,motel",54,1
66,"Hybe,,rázc.",76,"Kráľova Lehota,,Preglejka",108,1
66,"Hybe,,rázc.",77,"Kráľova Lehota,,žel.st.",239,1
66,"Hybe,,rázc.",108,"Lipt.Hrádok,,Jánoškov domov",135,2
66,"Hybe,,rázc.",113,"Lipt.Hrádok,,Maša",81,1
68,Ižipovce,29,"Bobrovník,Hliník,rázc.",302,3
68,Ižipovce,199,"Prosiek,,rázc.",108,1
68,Ižipovce,398,"Prosiek,Zádiel",54,1
69,"Jakubovany,,Hrča",70,"Jakubovany,,Kuchárik",66,0.2
70,"Jakubovany,,Kuchárik",69,"Jakubovany,,Hrča",89,0.2
70,"Jakubovany,,Kuchárik",160,"Lipt.Ondrej,,rázc.",81,1
71,"Jalovec,,ZŠ",72,"Jalovec,,most",54,0.2
71,"Jalovec,,ZŠ",383,"Bobrovec,,Luhy",126,2
72,"Jalovec,,most",71,"Jalovec,,ZŠ",68,0.2
72,"Jalovec,,most",383,"Bobrovec,,Luhy",79,2
73,"Jamník,,RD otoč.",69,"Jakubovany,,Hrča",324,3
73,"Jamník,,RD otoč.",402,"Jamník,,Jednota",216,1
74,"Kráľova Lehota,,Cestné stavby obal.",77,"Kráľova Lehota,,žel.st.",108,2
74,"Kráľova Lehota,,Cestné stavby obal.",174,"Kráľova Lehota,,Michalovo Gašparík",94,2
74,"Kráľova Lehota,,Cestné stavby obal.",384,"Kráľova Lehota,,Preglejka št.cesta",81,1
75,"Kráľova Lehota,,Jednota",77,"Kráľova Lehota,,žel.st.",180,1
76,"Kráľova Lehota,,Preglejka",77,"Kráľova Lehota,,žel.st.",94,0.2
76,"Kráľova Lehota,,Preglejka",400,"Hybe,,rázc.na Kráľovu Lehotu",54,1
77,"Kráľova Lehota,,žel.st.",74,"Kráľova Lehota,,Cestné stavby obal.",108,2
77,"Kráľova Lehota,,žel.st.",75,"Kráľova Lehota,,Jednota",72,1
77,"Kráľova Lehota,,žel.st.",76,"Kráľova Lehota,,Preglejka",54,0.2
77,"Kráľova Lehota,,žel.st.",174,"Kráľova Lehota,,Michalovo Gašparík",189,4
77,"Kráľova Lehota,,žel.st.",384,"Kráľova Lehota,,Preglejka št.cesta",54,1
77,"Kráľova Lehota,,žel.st.",400,"Hybe,,rázc.na Kráľovu Lehotu",83,1
78,"Kvačany,Dlhá Lúka",80,"Kvačany,,ZŠ",54,0.2
78,"Kvačany,Dlhá Lúka",103,"Lipt.Matiašovce,,rázc.",97,2
78,"Kvačany,Dlhá Lúka",427,"Kvačany,,garáž SAD",108,1
79,"Kvačany,,RD",427,"Kvačany,,garáž SAD",102,0.2
80,"Kvačany,,ZŠ",78,"Kvačany,Dlhá Lúka",84,0.2
80,"Kvačany,,ZŠ",88,"Lipt.Sielnica,,PS",216,4
80,"Kvačany,,ZŠ",427,"Kvačany,,garáž SAD",74,1
81,"Lazisko,,Droppa",206,"Svätý Kríž,,Vyšný koniec",103,1
81,"Lazisko,,Droppa",428,"Lazisko,,garáž SAD",124,0.2
82,"Lipt.Anna,,Jednota",34,"Bukovina,,polesie",65,0.2
82,"Lipt.Anna,,Jednota",83,"Lipt.Anna,,garáž SAD",86,1
83,"Lipt.Anna,,garáž SAD",34,"Bukovina,,polesie",270,1
83,"Lipt.Anna,,garáž SAD",82,"Lipt.Anna,,Jednota",54,1
84,"Lipt.Kokava,,Oravec",86,"Lipt.Kokava,,obch.dom",69,0.2
84,"Lipt.Kokava,,Oravec",105,"Lipt.Hrádok,Dovalovo,Petráško",360,6
85,"Lipt.Kokava,,RD",87,"Lipt.Kokava,,pož.zbroj.",108,0.2
86,"Lipt.Kokava,,obch.dom",84,"Lipt.Kokava,,Oravec",83,0.2
86,"Lipt.Kokava,,obch.dom",87,"Lipt.Kokava,,pož.zbroj.",112,1
87,"Lipt.Kokava,,pož.zbroj.",85,"Lipt.Kokava,,RD",162,0.2
87,"Lipt.Kokava,,pož.zbroj.",86,"Lipt.Kokava,,obch.dom",86,1
88,"Lipt.Sielnica,,PS",80,"Kvačany,,ZŠ",297,4
88,"Lipt.Sielnica,,PS",89,"Lipt.Sielnica,,rázc.",104,1
88,"Lipt.Sielnica,,PS",102,"Lipt.Matiašovce,,pož.zbroj.",270,3
88,"Lipt.Sielnica,,PS",103,"Lipt.Matiašovce,,rázc.",186,2
89,"Lipt.Sielnica,,rázc.",79,"Kvačany,,RD",378,6
89,"Lipt.Sielnica,,rázc.",88,"Lipt.Sielnica,,PS",118,1
89,"Lipt.Sielnica,,rázc.",161,"Lipt.Trnovec,,Krivý kút",184,3
89,"Lipt.Sielnica,,rázc.",162,"Lipt.Trnovec,,ZŠ",243,4
89,"Lipt.Sielnica,,rázc.",199,"Prosiek,,rázc.",90,1
89,"Lipt.Sielnica,,rázc.",393,"Lipt.Trnovec,,ATC",252,5
89,"Lipt.Sielnica,,rázc.",398,"Prosiek,Zádiel",162,1
90,"Lipt.Teplá,,ŠL",17,"Beše�?ová,,hotel Sumit",162,2
90,"Lipt.Teplá,,ŠL",62,"Lipt.Teplá,Madočany,RENOP",117,2
90,"Lipt.Teplá,,ŠL",91,"Lipt.Teplá,,nám.",135,0.2
90,"Lipt.Teplá,,ŠL",93,"Lipt.Teplá,,žel.st.",189,1
90,"Lipt.Teplá,,ŠL",318,"Turík,,rázc.",108,2
91,"Lipt.Teplá,,nám.",90,"Lipt.Teplá,,ŠL",97,0.2
91,"Lipt.Teplá,,nám.",93,"Lipt.Teplá,,žel.st.",140,1
92,"Lipt.Teplá,,rázc.",62,"Lipt.Teplá,Madočany,RENOP",94,1
92,"Lipt.Teplá,,rázc.",318,"Turík,,rázc.",118,2
93,"Lipt.Teplá,,žel.st.",90,"Lipt.Teplá,,ŠL",123,1
93,"Lipt.Teplá,,žel.st.",91,"Lipt.Teplá,,nám.",171,1
93,"Lipt.Teplá,,žel.st.",369,"Lipt.Teplá,,Prefa",88,0.2
94,"Potok,,OcÚ",16,"Beše�?ová,,Jednota",270,2
94,"Potok,,OcÚ",17,"Beše�?ová,,hotel Sumit",162,2
94,"Potok,,OcÚ",95,"Potok,,u Žiaka 44",147,1
94,"Potok,,OcÚ",465,"Beše�?ová,,bytovka 109",162,2
95,"Potok,,u Žiaka 44",94,"Potok,,OcÚ",85,1
96,"Lipt.Matiašovce,,SSC",101,"Lipt.Matiašovce,Vyšné Matiašovce",86,1
96,"Lipt.Matiašovce,,SSC",416,"Kvačany,,SSC",324,5
97,"Lipt.Beharovce,,Beníkovský",183,"Pavlova Ves,,kult.dom",108,1
98,"Lipt.Kľačany,,garáž SAD",99,"Lipt.Kľačany,,kostol",72,1
99,"Lipt.Kľačany,,kostol",98,"Lipt.Kľačany,,garáž SAD",68,1
99,"Lipt.Kľačany,,kostol",100,"Lipt.Kľačany,,samota",60,0.2
100,"Lipt.Kľačany,,samota",99,"Lipt.Kľačany,,kostol",62,0.2
100,"Lipt.Kľačany,,samota",246,"Ľubeľa,,Humenný",60,1
101,"Lipt.Matiašovce,Vyšné Matiašovce",96,"Lipt.Matiašovce,,SSC",108,1
101,"Lipt.Matiašovce,Vyšné Matiašovce",102,"Lipt.Matiašovce,,pož.zbroj.",116,1
101,"Lipt.Matiašovce,Vyšné Matiašovce",430,"Lipt.Matiašovce,,kaplnka",63,1
102,"Lipt.Matiašovce,,pož.zbroj.",78,"Kvačany,Dlhá Lúka",162,3
